trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",20,0,-100.25072573144021,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",25,0,-119.5730668224889,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",25,8,-7.01838512892265,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",20,0,-133.8683701614611,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",20,0,-61.59504005921971,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",30,0,-69.78584215099062,"{0: 24, 1: 2, 2: 1, 3: 2, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",35,4,-3.4717097162659476,"{0: 26, 1: 2, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",25,0,-112.72676790367431,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",20,1,-89.00608632394142,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",20,0,-6.0113733346719584,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",25,2,-54.04918682611594,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",25,9,-13.774346534705227,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",25,0,-45.802346881452266,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",20,0,6.971243504298801,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",20,0,1.9374926903075522,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",25,1,18.909444558468685,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",20,0,4.5198611138458995,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",20,4,16.530062211734933,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",25,2,27.200443193558705,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': -3.191891195797325e-16}",20,2,9.432728594693955,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,14.484563265022096,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,20.068682549214152,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,35.427836509463226,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,14.359574444269521,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,15,18.329459634979123,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,7,5.334750491385222,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,14,14.024699771346878,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,0,26.111264242518534,"{0: 32, 1: 3, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,24.672023186599485,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,3,21.734514054580938,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
