trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,0,-79.80928088125312,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 1.0}",20,0,-60.84792628737012,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.6, 'e': 1.0}",25,0,-215.3203623312137,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.6, 'e': 1.0}",30,2,-253.06264065909323,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 5}",1
5,False,"{'a': 0.6, 'e': 1.0}",20,0,-3.4154375660628076,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 1.0}",20,0,-180.8301004510274,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.6, 'e': 1.0}",20,0,-119.37358609065208,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.6, 'e': 1.0}",30,0,-225.38181241035608,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.6, 'e': 1.0}",20,0,-74.30210581865015,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.6, 'e': 1.0}",25,0,-211.07475208310703,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
11,False,"{'a': 0.6, 'e': 1.0}",20,0,-97.77195998216932,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.6, 'e': 1.0}",25,11,-30.44817719978603,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.6, 'e': 1.0}",30,0,-171.95641561174955,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.6, 'e': 1.0}",25,0,-126.10492791574893,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 1.0}",20,0,-131.38429756724034,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.6, 'e': 1.0}",20,0,-135.28197933843552,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.6, 'e': 1.0}",20,0,-113.98700209784346,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.6, 'e': 1.0}",20,0,-148.20156153450742,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.6, 'e': 1.0}",25,0,-29.471706836414043,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': 1.0}",30,8,-153.23729763790902,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",30,8,-125.12573080058667,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,0,-132.80853364700278,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,0,4.637006276362557,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-85.17582832261395,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-206.46718749512866,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,0,-39.57527411384884,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-76.94160432680067,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-131.78979075502656,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-60.565590743230615,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-21.05123526770517,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
